id,city_id,coords,status,status_code,year
150,12:056,"30.483935395114,59.915768517426,15.3352709049359 30.4800847186627,59.9199530855417,15.3395384317264 30.4800522595631,59.9199455552979,15.3395738946274 30.4800198015407,59.919938026094,15.3396093584597 30.4838704865316,59.9157534598485,15.3353418298066 30.4839029408078,59.9157609881154,15.3353063669056 30.483935395114,59.915768517426,15.3352709049359",действующий очаг,injured_active,2014.0
151,12:057,"30.4989534023247,59.9135121928855,15.3187926225364 30.4961949553312,59.9165386992343,15.3218513028696 30.4961624464888,59.916531227828,15.3218868197873 30.496129937153,59.9165237574673,15.3219223376364 30.4988883888387,59.9134972524657,15.3188636582345 30.4989208953166,59.9135047229435,15.3188281422481 30.4989534023247,59.9135121928855,15.3187926225364",действующий очаг,injured_active,2014.0
152,12:058,"30.4386481712241,59.8642341049024,15.3843901408836 30.4381692813666,59.864681251056,15.3849196936935 30.4381378542106,59.864672738762,15.3849541032687 30.4381064270567,59.8646642254087,15.3849885184318 30.438585317529,59.8642170805335,15.3844589684159 30.4386167443685,59.8642255927217,15.3844245551154 30.4386481712241,59.8642341049024,15.3843901408836",затухающий очаг,injured_damped,2013.0
153,12:059,"30.4398959136593,59.8623550523879,15.3830039892346 30.4399271526149,59.862363736322,15.3829697854817 30.4398554834685,59.8624289517274,15.3830490261316 30.439398605802,59.8628446786024,15.383554155007 30.4393847718329,59.8628408338708,15.3835693048313 30.4393673654969,59.8628359953361,15.3835883634165 30.4393535241779,59.8628321477336,15.383603522554 30.439336126766,59.8628273112685,15.3836225699633 30.4397926325059,59.8624119231941,15.3831178518012 30.4398606391605,59.8623490162395,15.3830426530913 30.4398646736709,59.8623463681869,15.3830381995067 30.4398959136593,59.8623550523879,15.3830039892346",возникающий очаг,injured_emerging,2013.0
154,12:060,"30.4572217024501,59.8658750299683,15.3640235178173 30.4588930458726,59.8659990511954,15.3621908109635 30.4588878323725,59.866016810199,15.3621967034414 30.4588826188705,59.8660345694653,15.3622025968507 30.4572151565039,59.8659107823163,15.3640310419723 30.4557517464587,59.8658834621384,15.3656365368515 30.4557530701485,59.8658655226742,15.3656349154189 30.4557543954053,59.8658475832045,15.3656332893297 30.4572217024501,59.8658750299683,15.3640235178173",действующий очаг,injured_active,2013.0
155,12:061,"30.4408436780702,59.9012955119521,15.3823334956542 30.4407713481655,59.9013415552716,15.3824132466689 30.4407432946371,59.9013304345337,15.3824438881129 30.4407152426976,59.9013193137846,15.382474526763 30.4407875736786,59.9012732704923,15.3823947757483 30.4408156261268,59.9012843912243,15.3823641343042 30.4408436780702,59.9012955119521,15.3823334956542",действующий очаг,injured_active,2013.0
156,12:062,"30.4169997347028,59.9132735160662,15.408586169593 30.4161446054286,59.9139046125472,15.409529405646 30.4152076456116,59.9149483774395,15.4105662498623 30.4151750542082,59.9149410004826,15.4106018980965 30.4151424628192,59.9149336235178,15.4106375453994 30.4160807054768,59.9138884312772,15.4095992846414 30.4160837408088,59.9138857093161,15.4095959300175 30.41694062219,59.9132533185448,15.4086507614702 30.4169701776521,59.9132634173113,15.4086184641346 30.4169997347028,59.9132735160662,15.408586169593",действующий очаг,injured_active,2013.0
157,12:063,"30.42598249394,59.9094917369005,15.3987043816596 30.4212102940652,59.9116132532246,15.4039554484189 30.4211866023292,59.911599811139,15.4039812851697 30.421162908518,59.9115863690559,15.4040071247146 30.425935107576,59.9094648547019,15.3987560588866 30.4259588017938,59.9094782956686,15.3987302184105 30.42598249394,59.9094917369005,15.3987043816596",действующий очаг,injured_active,2013.0
158,12:064,"30.4282522525967,59.9085649660492,15.3962075365707 30.4269698307524,59.9090698872363,15.3976180916652 30.4269477772525,59.9090557596228,15.3976421244442 30.4269257253451,59.9090416322635,15.397666156292 30.4282081467698,59.9085367112407,15.3962556011975 30.4282301988886,59.9085508386494,15.3962315702811 30.4282522525967,59.9085649660492,15.3962075365707",затухающий очаг,injured_damped,2013.0
159,12:065,"30.4607224869568,59.8739375408567,15.3602614384145 30.4602710143839,59.874293732137,15.3607602296397 30.4602409029346,59.8742840848948,15.3607931649312 30.4602107899339,59.8742744376512,15.3608261002228 30.460662262372,59.8739182468405,15.3603273117915 30.4606923756998,59.8739278937169,15.360294373706 30.4607224869568,59.8739375408567,15.3602614384145",возникающий очаг,injured_emerging,2013.0
160,12:068,"30.4277529522681,59.8737298628666,15.3964301897213 30.4277825815322,59.8737398798197,15.3963977703825 30.4274874802116,59.8739605274174,15.3967235097662 30.4274457622887,59.8739917204987,15.3967695562169 30.4274161308059,59.8739817032141,15.396801979281 30.4273865014496,59.8739716872307,15.3968344004825 30.4274323287787,59.8739374218917,15.3967838175595 30.42772332094,59.8737198467023,15.3964626155794 30.4277529522681,59.8737298628666,15.3964301897213",возникающий очаг,injured_emerging,2014.0
161,12:069,"30.422606286733,59.8771558458976,15.4021071270108 30.4226268403643,59.8771705257015,15.4020847035572 30.4218926909765,59.8774303161196,15.4028924405575 30.4213312855551,59.8776176195609,15.4035100089386 30.4212598534867,59.8776398021708,15.4035885734484 30.4205764366648,59.877856859942,15.4043402597308 30.4205614169156,59.8778448837627,15.404356636107 30.4205573913327,59.877841674386,15.4043610235676 30.4205383475937,59.8778264893481,15.4043817874044 30.4212924865635,59.8775874759962,15.4035523133352 30.4218523927624,59.8774006747213,15.4029363915324 30.422393478052,59.8772092009781,15.4023410724476 30.422585731564,59.8771411671472,15.4021295486018 30.422606286733,59.8771558458976,15.4021071270108",возникающий очаг,injured_emerging,2014.0
162,12:070,"30.4299400389372,59.8985524430009,15.3942601820454 30.4299200958865,59.8985673381172,15.3942821901292 30.4299001522912,59.8985822329692,15.3943041972816 30.4278288569156,59.8978822546296,15.3965684724972 30.4278488010179,59.8978673598258,15.3965464634821 30.4278687445791,59.8978524650208,15.3965244553983 30.4299400389372,59.8985524430009,15.3942601820454",затухающий очаг,injured_damped,2014.0
